date,diamond price
9/2/2018,10643.894
9/1/2018,10646.879
8/31/2018,10645.295
8/30/2018,10646.805
8/29/2018,10650.376
8/28/2018,10665.563
8/27/2018,10716.892
8/26/2018,10721.17
8/25/2018,10718.875
8/24/2018,10711.801
8/23/2018,10709.513
8/22/2018,10752.646
8/21/2018,10758.255
8/20/2018,10758.361
8/19/2018,10772.129
8/18/2018,10769.072
8/17/2018,10769.229
8/16/2018,10773.372
8/15/2018,10767.648
8/14/2018,10773.519
8/13/2018,10772.572
8/12/2018,10777.116
8/11/2018,10778.353
8/10/2018,10768.113
8/9/2018,10765.371
8/8/2018,10769.62
8/7/2018,10773.713
8/6/2018,10775.254
8/5/2018,10774.794
8/4/2018,10769.284
8/3/2018,10764.475
8/2/2018,10760.829
8/1/2018,10756.781
7/31/2018,10740.532
7/30/2018,10742.954
7/29/2018,10745.638
7/28/2018,10742.262
7/27/2018,10741.911
7/26/2018,10755.729
7/25/2018,10804.857
7/24/2018,10793.602
7/23/2018,10774.111
7/22/2018,10674.863
7/21/2018,10674.255
7/20/2018,10666.1
7/19/2018,10663.921
7/18/2018,10657.419
7/17/2018,10658.19
7/16/2018,10657.638
7/15/2018,10669.487
7/14/2018,10684.853
7/13/2018,10691.104
7/12/2018,10689.325
7/11/2018,10690.246
7/10/2018,10692.639
7/9/2018,10702.415
7/8/2018,10726.659
7/7/2018,10728.682
7/6/2018,10718.032
7/5/2018,10712.856
7/4/2018,10710.898
7/3/2018,10715.123
7/2/2018,10719.893
7/1/2018,10712.787
6/30/2018,10711.909
6/29/2018,10701.819
6/28/2018,10673.499
6/27/2018,10673.174
6/26/2018,10676.309
6/25/2018,10681.149
6/24/2018,10671.438
6/23/2018,10623.656
6/22/2018,10604.346
6/21/2018,10573.854
6/20/2018,10572.109
6/19/2018,10574.323
6/18/2018,10569.9
6/17/2018,10566.693
6/16/2018,10565.036
6/15/2018,10569.451
6/14/2018,10566.076
6/13/2018,10561.495
6/12/2018,10561.272
6/11/2018,10562.193
6/10/2018,10556.075
6/9/2018,10560.858
6/8/2018,10564.61
6/7/2018,10563.505
6/6/2018,10568.984
6/5/2018,10564.069
6/4/2018,10550.13
6/3/2018,10547.103
6/2/2018,10543.025
6/1/2018,10538.838
5/31/2018,10083.73
5/30/2018,10083.9
5/29/2018,10106.18
5/28/2018,10111.69
5/27/2018,10118.63
5/26/2018,10112.36
5/25/2018,10114.38
5/24/2018,10120.91
5/23/2018,10108.78
5/22/2018,10107.35
5/21/2018,10105.5
5/20/2018,10105.86
5/19/2018,10106.47
5/18/2018,10107.98
5/17/2018,10111.34
5/16/2018,10088.98
5/15/2018,10085.07
5/14/2018,10061.15
5/13/2018,10064.73
5/12/2018,10059.69
5/11/2018,10058.4
5/10/2018,10057.48
5/9/2018,10055.51
5/8/2018,10048.4
5/7/2018,10041.23
5/6/2018,10050.58
5/5/2018,10048.61
5/4/2018,10048.29
5/3/2018,10046.02
5/2/2018,10047.16
5/1/2018,10050.07
4/30/2018,10038.62
4/29/2018,10032.95
4/28/2018,10030.58
